Transaction_ID,Date,Customer_ID,Account_Type,Transaction_Type,Transaction_Amount,Balance_After_Transaction,Interest_Accrued,Fee_Charged,Region,Customer_Satisfaction
INV11782,2022-03-16 06:00:00,CUST1091,Credit,Interest,6973.44,11252.58,327.96,144.57,West,1
INV11452,2022-03-02 12:00:00,CUST1074,Credit,,5417.39,6583.43,96.51,172.86,East,1
INV10252,2022-01-11 12:00:00,CUST1096,,Deposit,42522.97,17839.44,420.25,95.39,West,5
INV11676,2022-03-11 20:00:00,CUST1038,Checking,Withdrawal,48478.15,31233.94,250.43,51.66,North,1
INV11216,2022-02-20 16:00:00,CUST1073,,Deposit,16213.52,29742.07,282.2,210.56,,
INV11257,2022-02-22 09:00:00,CUST1056,Investment,,956.19,15959.92,17.17,268.67,,5
INV10094,2022-01-04 22:00:00,CUST1039,Investment,Fee,8991.05,26029.27,32.8,161.81,East,2
INV10998,2022-02-11 14:00:00,CUST1099,Credit,Interest,29097.44,89798.55,62.65,218.03,East,1
INV10483,2022-01-21 03:00:00,CUST1011,,Deposit,13261.81,24559.47,325.93,299.1,South,1
INV11016,2022-02-12 08:00:00,CUST1052,Credit,Deposit,47980.11,60427.41,334.92,20.12,West,
INV12001,2022-03-25 09:00:00,CUST1045,Credit,Withdrawal,1590.69,13552.45,145.73,293.81,North,5
INV11019,2022-02-12 11:00:00,CUST1069,,,43731.54,85671.16,32.59,211.5,South,2
INV11742,2022-03-14 14:00:00,CUST1004,Credit,Fee,42170.23,47033.88,100.84,226.26,South,1
INV12464,2022-04-13 16:00:00,CUST1032,,Interest,2399.51,55409.16,376.6,247.04,North,
INV12982,2022-05-05 06:00:00,CUST1052,,Withdrawal,5734.16,39078.05,125.32,200.51,,
INV11136,2022-02-17 08:00:00,CUST1041,Investment,Withdrawal,12511.62,85747.05,448.83,72.72,East,4
INV10795,2022-02-03 03:00:00,CUST1025,Savings,Withdrawal,11226.22,80812.39,160.22,40.57,East,5
INV11687,2022-03-12 07:00:00,CUST1051,Savings,,42315.9,83496.79,122.75,110.04,West,
INV12058,2022-03-27 18:00:00,CUST1002,Investment,Withdrawal,26767.28,1924.97,66.05,150.45,South,2
INV11387,2022-02-27 19:00:00,CUST1067,Investment,Fee,19313.93,35367.12,454.9,165.24,,2
INV10061,2022-01-03 13:00:00,CUST1059,Savings,Fee,760.98,25751.27,266.74,147.06,South,3
